subject,item,item_id,subscale,response,y_hat,y_pred,loo,ku
sp00178,1,Swore,PVA,0.0,0.05025,0.948743,-0.056706,0.254401
sp00178,2,Hurtful,PVA,0.0,0.12175,0.885192,-0.139013,0.196659
sp00178,3,Afraid,PVA,0.0,0.03875,0.961424,-0.042362,0.29616
sp00178,4,Leave,PVA,0.0,0.0285,0.970745,-0.030168,0.121895
sp00178,5,Closet,NVEA,0.0,0.007,0.993694,-0.00635,0.032051
sp00178,6,Pushed,PPhysA,0.0,0.083,0.920567,-0.088059,0.153333
sp00178,7,Hit,PPhysA,0.0,0.014,0.986681,-0.013658,0.157694
sp00178,8,Hit_med,PPhysA,0.0,0.0015,0.998563,-0.001442,0.133336
sp00178,9,Spank_open,PPhysA,1.0,0.51225,0.500746,-0.753605,0.168149
sp00178,10,Spanked_bare,PPhysA,0.0,0.1365,0.867559,-0.14449,0.048883
sp00178,11,Spanked_strap,PPhysA,0.0,0.092,0.907499,-0.100058,0.042362
sp00178,12,Sex_comment,SexA,0.0,0.002,0.997853,-0.002156,0.128315
sp00178,13,Fondled,SexA,0.0,0.0025,0.997943,-0.002065,0.15865
sp00178,14,Touch_them,SexA,0.0,0.00175,0.999168,-0.000834,0.004316
sp00178,15,Push_sib,WSV,0.0,0.08775,0.91475,-0.092569,0.058447
sp00178,16,Hit_sib_med,WSV,0.0,0.00075,0.999023,-0.000979,0.128721
sp00178,17,Sex_comment_sib,WSV,0.0,0.00125,0.99787,-0.002137,0.083664
sp00178,18,Fondled_sib,WSV,0.0,0.00075,0.998605,-0.001399,-0.045803
sp00178,19,o_fondled,SexA,0.0,0.0385,0.962611,-0.038477,-0.01449
sp00178,20,o_intercourse,SexA,0.0,0.011,0.986578,-0.013559,0.04921
sp00178,21,Adults_push_m,WIPV,0.0,0.02075,0.980527,-0.019929,0.027543
sp00178,22,Adults_hit_m,WIPV,0.0,0.00525,0.995329,-0.004702,0.05057
sp00178,23,Adults_hit_med_m,WIPV,0.0,0.00275,0.997609,-0.0024,0.139991
sp00178,24,Adults_push_f,WIPV,0.0,0.01625,0.983325,-0.016981,0.148681
sp00178,25,Adults_hit_f,WIPV,0.0,0.00375,0.997668,-0.00234,0.119215
sp00178,26,peer_swore,PeerVA,0.0,0.09275,0.905043,-0.127176,0.493836
sp00178,27,Peer_hurtful,PeerVA,0.0,0.13275,0.86674,-0.211222,0.639618
sp00178,28,Peer_Rumors,PeerVA,0.0,0.14825,0.854242,-0.168762,0.242157
sp00178,29,Peer_Excluded,PeerVA,0.0,0.146,0.859882,-0.163189,0.288923
sp00178,30,Peer_afraid,PeerVA,0.0,0.0125,0.986382,-0.014012,0.31661
sp00178,31,Peer_threat_money,PeerPhysA,0.0,0.00175,0.997222,-0.00279,0.135313
sp00178,32,Peer_forced,PeerPhysA,0.0,0.00475,0.993969,-0.006092,0.206054
sp00178,33,Peer_pushed,PeerPhysA,0.0,0.05775,0.94185,-0.062398,0.23321
sp00178,34,Peer_hit,PeerPhysA,0.0,0.00825,0.993275,-0.006814,0.256494
sp00178,35,Peer_hit_med,PeerPhysA,0.0,0.00225,0.998607,-0.001397,0.181076
sp00178,38,M_unavail_poor,EN,0.0,0.0705,0.929491,-0.075209,0.069248
sp00178,39,F_unavail_poor,EN,0.0,0.15075,0.856763,-0.160514,0.031139
sp00178,40,P_diff_please,NVEA,0.0,0.21125,0.779849,-0.269301,0.095228
