subject,item,item_id,subscale,response,y_hat,y_pred,loo,ku
sp00178,1,Swore,PVA,0.0,0.022,0.976453,-0.030081,0.533134
sp00178,2,Hurtful,PVA,0.0,0.05825,0.939708,-0.086459,0.497312
sp00178,3,Afraid,PVA,0.0,0.02425,0.974583,-0.027567,0.242292
sp00178,4,Leave,PVA,0.0,0.0195,0.979612,-0.020944,0.11949
sp00178,5,Closet,NVEA,0.0,0.00675,0.993955,-0.006098,0.308762
sp00178,6,Pushed,PPhysA,0.0,0.065,0.934099,-0.072831,0.219922
sp00178,7,Hit,PPhysA,0.0,0.0095,0.989457,-0.010796,0.236572
sp00178,8,Hit_med,PPhysA,0.0,0.00125,0.998853,-0.001151,0.096035
sp00178,9,Spank_open,PPhysA,1.0,0.76775,0.759671,-0.950732,0.886758
sp00178,10,Spanked_bare,PPhysA,0.0,0.16325,0.841766,-0.214522,0.464127
sp00178,11,Spanked_strap,PPhysA,0.0,0.0995,0.904903,-0.117151,0.507538
sp00178,12,Sex_comment,SexA,0.0,0.00125,0.998737,-0.001267,0.190121
sp00178,13,Fondled,SexA,0.0,0.00125,0.998679,-0.001325,0.187914
sp00178,14,Touch_them,SexA,0.0,0.00075,0.999401,-0.0006,0.186574
sp00178,15,Push_sib,WSV,0.0,0.05425,0.949314,-0.066713,0.653183
sp00178,16,Hit_sib_med,WSV,0.0,0.00025,0.999477,-0.000524,0.328232
sp00178,17,Sex_comment_sib,WSV,0.0,0.00175,0.998471,-0.001541,0.554234
sp00178,18,Fondled_sib,WSV,0.0,0.001,0.999068,-0.000937,0.394663
sp00178,19,o_fondled,SexA,0.0,0.02725,0.972706,-0.028723,0.209487
sp00178,20,o_intercourse,SexA,0.0,0.00625,0.991037,-0.009434,0.339351
sp00178,21,Adults_push_m,WIPV,0.0,0.01075,0.991082,-0.012296,0.729229
sp00178,22,Adults_hit_m,WIPV,0.0,0.001,0.998228,-0.00202,0.842809
sp00178,23,Adults_hit_med_m,WIPV,0.0,0.0015,0.99875,-0.001278,0.43826
sp00178,24,Adults_push_f,WIPV,0.0,0.01075,0.98928,-0.01155,0.405052
sp00178,25,Adults_hit_f,WIPV,0.0,0.002,0.998144,-0.001873,0.388069
sp00178,26,peer_swore,PeerVA,0.0,0.0955,0.903476,-0.124686,0.248255
sp00178,27,Peer_hurtful,PeerVA,0.0,0.09625,0.903707,-0.185249,0.447515
sp00178,28,Peer_Rumors,PeerVA,0.0,0.10875,0.900364,-0.114215,0.126189
sp00178,29,Peer_Excluded,PeerVA,0.0,0.105,0.898575,-0.117843,0.033101
sp00178,30,Peer_afraid,PeerVA,0.0,0.039,0.955936,-0.045784,0.067322
sp00178,31,Peer_threat_money,PeerPhysA,0.0,0.00775,0.991295,-0.008866,0.13309
sp00178,32,Peer_forced,PeerPhysA,0.0,0.027,0.972808,-0.028291,0.018144
sp00178,33,Peer_pushed,PeerPhysA,0.0,0.1185,0.882303,-0.185604,0.335442
sp00178,34,Peer_hit,PeerPhysA,0.0,0.01425,0.988005,-0.015663,0.696117
sp00178,35,Peer_hit_med,PeerPhysA,0.0,0.002,0.998031,-0.002001,0.263505
sp00178,38,M_unavail_poor,EN,0.0,0.049,0.950536,-0.052377,0.076593
sp00178,39,F_unavail_poor,EN,0.0,0.118,0.884881,-0.127357,0.157032
sp00178,40,P_diff_please,NVEA,0.0,0.1595,0.833928,-0.200502,0.204204
sp00178,41,P_no_time,NVEA,0.0,0.0485,0.948477,-0.055423,0.166829
sp00178,42,P_loved_you,EN,0.0,0.01,0.989895,-0.011592,0.513406
sp00178,43,P_special,EN,0.0,0.01375,0.987003,-0.015746,0.600433
sp00178,44,P_protect,PN,0.0,0.00375,0.996546,-0.003736,0.52907
sp00178,45,P_ER,PN,0.0,0.00475,0.996571,-0.003706,0.398479
sp00178,46,No_food,PN,0.0,0.00275,0.997166,-0.00286,0.24116
sp00178,47,Dirty_clothes,PN,0.0,0.0015,0.997999,-0.00201,0.299273
sp00178,48,Adult_resposibility,NVEA,1.0,0.578,0.576478,-1.046374,0.417656
sp00178,49,Financial_pressure,NVEA,1.0,0.48325,0.488538,-1.000987,0.251587
sp00178,50,Kept_secrets,NVEA,0.0,0.26675,0.725148,-0.350289,0.271016
sp00178,51,Looked_out_each_other,PN,0.0,0.02525,0.973582,-0.03011,0.438758
sp00178,52,Fam_strength,EN,0.0,0.01825,0.981736,-0.019354,0.389035
sp00180,1,Swore,PVA,1.0,0.4885,0.48831,-1.456195,0.670259
sp00180,2,Hurtful,PVA,1.0,0.637,0.64873,-0.73419,0.658318
sp00180,3,Afraid,PVA,0.0,0.136,0.864405,-0.169831,0.2218
sp00180,4,Leave,PVA,0.0,0.09825,0.902952,-0.10669,0.234626
sp00180,5,Closet,NVEA,0.0,0.00975,0.99053,-0.009557,0.063833
sp00180,6,Pushed,PPhysA,0.0,0.101,0.898692,-0.113892,0.177399
sp00180,7,Hit,PPhysA,0.0,0.01825,0.983566,-0.016883,0.178674
sp00180,8,Hit_med,PPhysA,0.0,0.001,0.997231,-0.002781,0.05821
sp00180,9,Spank_open,PPhysA,0.0,0.1775,0.814639,-0.621824,0.847026
sp00180,10,Spanked_bare,PPhysA,0.0,0.02625,0.972546,-0.029042,0.322894
sp00180,11,Spanked_strap,PPhysA,0.0,0.02625,0.97306,-0.028378,0.221974
sp00180,12,Sex_comment,SexA,0.0,0.0045,0.995336,-0.004705,0.223225
sp00180,13,Fondled,SexA,0.0,0.00425,0.995604,-0.004427,0.256318
sp00180,14,Touch_them,SexA,0.0,0.00325,0.99805,-0.001957,0.10721
sp00180,19,o_fondled,SexA,0.0,0.0455,0.949071,-0.055469,0.252081
sp00180,20,o_intercourse,SexA,0.0,0.0145,0.985074,-0.01618,0.431952
sp00180,21,Adults_push_m,WIPV,0.0,0.02475,0.975583,-0.033964,0.49378
sp00180,22,Adults_hit_m,WIPV,0.0,0.00275,0.995704,-0.004798,0.574408
sp00180,23,Adults_hit_med_m,WIPV,0.0,0.00375,0.997101,-0.003025,0.587855
sp00180,24,Adults_push_f,WIPV,0.0,0.03,0.973891,-0.028377,0.193076
sp00180,25,Adults_hit_f,WIPV,0.0,0.004,0.995483,-0.004568,0.202427
sp00180,26,peer_swore,PeerVA,1.0,0.89625,0.893131,-0.144591,0.322131
sp00180,27,Peer_hurtful,PeerVA,1.0,0.96875,0.967538,-0.047023,0.543339
sp00180,28,Peer_Rumors,PeerVA,1.0,0.738,0.738159,-0.371887,0.203609
sp00180,29,Peer_Excluded,PeerVA,1.0,0.7455,0.74966,-0.359357,0.203468
sp00180,30,Peer_afraid,PeerVA,0.0,0.2835,0.724096,-0.356905,0.320298
sp00180,31,Peer_threat_money,PeerPhysA,0.0,0.01375,0.987631,-0.012684,0.142802
