subject,item,item_id,subscale,response,n_years,y_hat,y_pred,loo,ku
00az6gt8iq5hfctoiwex16d6,1,Swore,PVA,1.0,3.0,0.2775,0.271754,-1.507729,0.308532
00az6gt8iq5hfctoiwex16d6,2,Hurtful,PVA,1.0,3.0,0.44025,0.44825,-0.965291,0.371822
00az6gt8iq5hfctoiwex16d6,3,Afraid,PVA,0.0,0.0,0.132,0.8659,-0.15728,0.191512
00az6gt8iq5hfctoiwex16d6,4,Leave,PVA,0.0,0.0,0.07425,0.930175,-0.074055,0.139194
00az6gt8iq5hfctoiwex16d6,5,Closet,NVEA,0.0,0.0,0.01925,0.98151,-0.018753,-0.057414
00az6gt8iq5hfctoiwex16d6,6,Pushed,PPhysA,0.0,0.0,0.169,0.829471,-0.199464,0.141777
00az6gt8iq5hfctoiwex16d6,7,Hit,PPhysA,0.0,0.0,0.06325,0.936176,-0.068389,0.19017
00az6gt8iq5hfctoiwex16d6,8,Hit_med,PPhysA,0.0,0.0,0.00675,0.995507,-0.004519,0.155764
00az6gt8iq5hfctoiwex16d6,9,Spank_open,PPhysA,0.0,0.0,0.61775,0.377169,-0.999468,-0.05918
00az6gt8iq5hfctoiwex16d6,10,Spanked_bare,PPhysA,0.0,0.0,0.159,0.839863,-0.176519,0.040806
00az6gt8iq5hfctoiwex16d6,11,Spanked_strap,PPhysA,0.0,0.0,0.26625,0.739571,-0.308409,0.124427
00az6gt8iq5hfctoiwex16d6,12,Sex_comment,SexA,0.0,0.0,0.02375,0.97493,-0.025609,0.025654
00az6gt8iq5hfctoiwex16d6,13,Fondled,SexA,0.0,0.0,0.02,0.981557,-0.018728,0.083233
00az6gt8iq5hfctoiwex16d6,14,Touch_them,SexA,0.0,0.0,0.01325,0.987925,-0.012197,0.012852
00az6gt8iq5hfctoiwex16d6,19,o_fondled,SexA,0.0,0.0,0.04,0.958922,-0.042229,0.074302
00az6gt8iq5hfctoiwex16d6,20,o_intercourse,SexA,0.0,0.0,0.01825,0.984418,-0.015786,-0.031016
00az6gt8iq5hfctoiwex16d6,21,Adults_push_m,WIPV,1.0,4.0,0.075,0.081322,-2.772543,0.215774
00az6gt8iq5hfctoiwex16d6,22,Adults_hit_m,WIPV,0.0,0.0,0.01325,0.986296,-0.013917,0.057376
00az6gt8iq5hfctoiwex16d6,23,Adults_hit_med_m,WIPV,0.0,0.0,0.01325,0.988929,-0.011181,0.024038
00az6gt8iq5hfctoiwex16d6,24,Adults_push_f,WIPV,0.0,0.0,0.04075,0.957796,-0.043589,0.102281
00az6gt8iq5hfctoiwex16d6,25,Adults_hit_f,WIPV,0.0,0.0,0.005,0.995111,-0.004919,0.08215
00az6gt8iq5hfctoiwex16d6,26,peer_swore,PeerVA,0.0,0.0,0.56025,0.445631,-0.853108,0.10687
00az6gt8iq5hfctoiwex16d6,27,Peer_hurtful,PeerVA,0.0,0.0,0.6815,0.316652,-1.225466,0.135449
00az6gt8iq5hfctoiwex16d6,28,Peer_Rumors,PeerVA,0.0,0.0,0.427,0.577737,-0.562973,0.112496
00az6gt8iq5hfctoiwex16d6,29,Peer_Excluded,PeerVA,1.0,3.0,0.43425,0.440732,-0.835706,0.105579
00az6gt8iq5hfctoiwex16d6,30,Peer_afraid,PeerVA,0.0,0.0,0.129,0.867843,-0.144793,0.060112
00az6gt8iq5hfctoiwex16d6,31,Peer_threat_money,PeerPhysA,0.0,0.0,0.04875,0.948197,-0.053578,-0.13331
00az6gt8iq5hfctoiwex16d6,32,Peer_forced,PeerPhysA,0.0,2.0,0.09975,0.903852,-0.102571,0.003557
00az6gt8iq5hfctoiwex16d6,33,Peer_pushed,PeerPhysA,0.0,0.0,0.21075,0.792611,-0.238279,0.018465
00az6gt8iq5hfctoiwex16d6,34,Peer_hit,PeerPhysA,0.0,0.0,0.0785,0.916356,-0.088388,0.078712
00az6gt8iq5hfctoiwex16d6,35,Peer_hit_med,PeerPhysA,0.0,0.0,0.01075,0.985803,-0.014378,0.119001
00az6gt8iq5hfctoiwex16d6,36,Peer_forced_sex,SexA,0.0,0.0,0.0505,0.949037,-0.052811,-0.135007
00az6gt8iq5hfctoiwex16d6,37,Peer_sex_not_want,SexA,0.0,0.0,0.07375,0.926593,-0.077003,-0.065289
00az6gt8iq5hfctoiwex16d6,38,M_unavail_poor,EN,0.0,0.0,0.119,0.883262,-0.130259,-0.007587
00az6gt8iq5hfctoiwex16d6,39,F_unavail_poor,EN,1.0,3.0,0.279,0.272566,-1.397774,0.08508
00az6gt8iq5hfctoiwex16d6,40,P_diff_please,NVEA,1.0,6.0,0.33075,0.323451,-1.256407,0.279859
00az6gt8iq5hfctoiwex16d6,41,P_no_time,NVEA,0.0,0.0,0.14425,0.851261,-0.16759,0.059629
00az6gt8iq5hfctoiwex16d6,42,P_loved_you,EN,0.0,0.0,0.02225,0.974938,-0.025614,0.332661
00az6gt8iq5hfctoiwex16d6,43,P_special,EN,0.0,0.0,0.09025,0.910117,-0.095763,0.057696
00az6gt8iq5hfctoiwex16d6,44,P_protect,PN,0.0,0.0,0.029,0.974376,-0.026279,0.086918
00az6gt8iq5hfctoiwex16d6,45,P_ER,PN,0.0,0.0,0.031,0.972347,-0.028227,0.031629
00az6gt8iq5hfctoiwex16d6,46,No_food,PN,0.0,0.0,0.022,0.977756,-0.022696,0.047248
00az6gt8iq5hfctoiwex16d6,47,Dirty_clothes,PN,0.0,0.0,0.01025,0.989886,-0.010218,-0.035385
00az6gt8iq5hfctoiwex16d6,48,Adult_resposibility,NVEA,0.0,0.0,0.2035,0.793097,-0.241856,0.056016
00az6gt8iq5hfctoiwex16d6,49,Financial_pressure,NVEA,0.0,0.0,0.288,0.707555,-0.357598,0.026252
00az6gt8iq5hfctoiwex16d6,50,Kept_secrets,NVEA,0.0,0.0,0.2195,0.782856,-0.24938,0.045247
00az6gt8iq5hfctoiwex16d6,51,Looked_out_each_other,PN,0.0,0.0,0.0705,0.923327,-0.082127,0.129024
00az6gt8iq5hfctoiwex16d6,52,Fam_strength,EN,0.0,1.0,0.1205,0.878661,-0.137679,0.129142
06bbq91suy80q9j76pm6zjm6,1,Swore,PVA,0.0,0.0,0.6455,0.363128,-1.101435,-0.020785
06bbq91suy80q9j76pm6zjm6,2,Hurtful,PVA,0.0,0.0,0.83125,0.173885,-1.940069,0.079477
06bbq91suy80q9j76pm6zjm6,3,Afraid,PVA,0.0,0.0,0.5495,0.454505,-0.910173,0.015929
06bbq91suy80q9j76pm6zjm6,4,Leave,PVA,0.0,0.0,0.245,0.757305,-0.289594,0.011201
06bbq91suy80q9j76pm6zjm6,5,Closet,NVEA,0.0,0.0,0.05475,0.948065,-0.053738,0.136448
06bbq91suy80q9j76pm6zjm6,6,Pushed,PPhysA,0.0,0.0,0.517,0.484676,-0.790538,0.021159
06bbq91suy80q9j76pm6zjm6,7,Hit,PPhysA,0.0,0.0,0.32125,0.694037,-0.397096,0.256748
06bbq91suy80q9j76pm6zjm6,8,Hit_med,PPhysA,0.0,0.0,0.01725,0.97782,-0.022612,0.126429
06bbq91suy80q9j76pm6zjm6,9,Spank_open,PPhysA,0.0,0.0,0.764,0.241344,-1.448062,0.1144
06bbq91suy80q9j76pm6zjm6,10,Spanked_bare,PPhysA,0.0,0.0,0.2895,0.723861,-0.327117,0.157711
06bbq91suy80q9j76pm6zjm6,11,Spanked_strap,PPhysA,0.0,0.0,0.43075,0.55665,-0.597741,0.071034
06bbq91suy80q9j76pm6zjm6,12,Sex_comment,SexA,0.0,0.0,0.10175,0.907191,-0.099067,-0.03514
06bbq91suy80q9j76pm6zjm6,13,Fondled,SexA,0.0,0.0,0.05725,0.938075,-0.064622,-0.053145
06bbq91suy80q9j76pm6zjm6,14,Touch_them,SexA,0.0,0.0,0.03525,0.966763,-0.033989,0.105414
06bbq91suy80q9j76pm6zjm6,19,o_fondled,SexA,1.0,4.0,0.098,0.095356,-2.429638,0.214177
06bbq91suy80q9j76pm6zjm6,20,o_intercourse,SexA,1.0,4.0,0.04725,0.050133,-3.151332,0.152202
06bbq91suy80q9j76pm6zjm6,21,Adults_push_m,WIPV,0.0,0.0,0.2595,0.741295,-0.310996,0.048819
06bbq91suy80q9j76pm6zjm6,22,Adults_hit_m,WIPV,0.0,0.0,0.0795,0.921356,-0.084108,0.156492
06bbq91suy80q9j76pm6zjm6,23,Adults_hit_med_m,WIPV,0.0,0.0,0.03675,0.96281,-0.03819,0.064352
06bbq91suy80q9j76pm6zjm6,24,Adults_push_f,WIPV,0.0,0.0,0.1305,0.868961,-0.143036,0.08618
06bbq91suy80q9j76pm6zjm6,25,Adults_hit_f,WIPV,0.0,0.0,0.02275,0.977186,-0.023262,-0.031573
06bbq91suy80q9j76pm6zjm6,26,peer_swore,PeerVA,0.0,0.0,0.78025,0.222513,-1.561322,0.133186
06bbq91suy80q9j76pm6zjm6,27,Peer_hurtful,PeerVA,1.0,4.0,0.86475,0.864816,-0.14737,-0.042788
06bbq91suy80q9j76pm6zjm6,28,Peer_Rumors,PeerVA,1.0,2.0,0.616,0.606714,-0.508171,-0.083733
06bbq91suy80q9j76pm6zjm6,29,Peer_Excluded,PeerVA,0.0,0.0,0.57725,0.421017,-0.876815,0.08812
06bbq91suy80q9j76pm6zjm6,30,Peer_afraid,PeerVA,0.0,0.0,0.3065,0.696495,-0.371226,0.088847
06bbq91suy80q9j76pm6zjm6,31,Peer_threat_money,PeerPhysA,0.0,0.0,0.115,0.887286,-0.120619,-0.041007
06bbq91suy80q9j76pm6zjm6,32,Peer_forced,PeerPhysA,1.0,4.0,0.21225,0.220329,-1.568348,-0.003326
06bbq91suy80q9j76pm6zjm6,33,Peer_pushed,PeerPhysA,0.0,0.0,0.40925,0.592751,-0.537102,-0.047158
06bbq91suy80q9j76pm6zjm6,34,Peer_hit,PeerPhysA,0.0,0.0,0.191,0.813369,-0.209573,0.041165
06bbq91suy80q9j76pm6zjm6,35,Peer_hit_med,PeerPhysA,0.0,0.0,0.04825,0.949471,-0.052379,0.115248
06bbq91suy80q9j76pm6zjm6,36,Peer_forced_sex,SexA,1.0,4.0,0.12875,0.133005,-2.100713,-0.023819
06bbq91suy80q9j76pm6zjm6,37,Peer_sex_not_want,SexA,1.0,4.0,0.16225,0.165686,-1.857829,0.204426
06bbq91suy80q9j76pm6zjm6,38,M_unavail_poor,EN,1.0,7.0,0.42325,0.415086,-0.971272,0.142426
06bbq91suy80q9j76pm6zjm6,39,F_unavail_poor,EN,0.0,0.0,0.52075,0.475051,-0.774423,0.050708
